"eski_yol","yeni_yol","durum","neden"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\product-3.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\products\product-3.jpg","aktif","Urun placeholder/gorsel havuzu"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\product-4.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\products\product-4.jpg","aktif","Urun placeholder/gorsel havuzu"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\product-5.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\products\product-5.jpg","aktif","Urun placeholder/gorsel havuzu"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\product-6.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\products\product-6.jpg","aktif","Urun placeholder/gorsel havuzu"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\product-7.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\products\product-7.jpg","aktif","Urun placeholder/gorsel havuzu"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\product-8.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\products\product-8.jpg","aktif","Urun placeholder/gorsel havuzu"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\product-9.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\products\product-9.jpg","aktif","Urun placeholder/gorsel havuzu"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\product-10.jpg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\images\products\product-10.jpg","aktif","Urun placeholder/gorsel havuzu"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\fonts\Magnolia-Script.otf","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\fonts\magnolia-script.otf","aktif","Aktif font dosyasi; aktif font adi kebab-case yapildi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\fonts\Poppins-Bold.ttf","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\fonts\poppins-bold.ttf","aktif","Aktif font dosyasi; aktif font adi kebab-case yapildi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\fonts\Poppins-Regular.ttf","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\fonts\poppins-regular.ttf","aktif","Aktif font dosyasi; aktif font adi kebab-case yapildi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets\tahmisci\fonts\Poppins-SemiBold.ttf","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\assets\fonts\poppins-semibold.ttf","aktif","Aktif font dosyasi; aktif font adi kebab-case yapildi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMISCI_MENU.xlsx","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\excel\menu-source.xlsx","aktif","Menu Excel kaynak dosyasi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\TAHMISCI_RECETE.xlsx","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\excel\recipe-source.xlsx","aktif","Recete Excel kaynak dosyasi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\index-online.html","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-html\index-online.html","kullanilmiyor","Alternatif/eski HTML"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\assets.txt","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\inceleme-ciktilari\assets.txt","kullanilmiyor","Inceleme veya arama ciktisi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\css-listesi.txt","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\inceleme-ciktilari\css-listesi.txt","kullanilmiyor","Inceleme veya arama ciktisi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\endpoint-arama.txt","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\inceleme-ciktilari\endpoint-arama.txt","kullanilmiyor","Inceleme veya arama ciktisi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js-inceleme-sonucu.txt","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\inceleme-ciktilari\js-inceleme-sonucu.txt","kullanilmiyor","Inceleme veya arama ciktisi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js-listesi.txt","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\inceleme-ciktilari\js-listesi.txt","kullanilmiyor","Inceleme veya arama ciktisi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\loader-arama.txt","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\inceleme-ciktilari\loader-arama.txt","kullanilmiyor","Inceleme veya arama ciktisi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\menu-products-kod.txt","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\inceleme-ciktilari\menu-products-kod.txt","kullanilmiyor","Inceleme veya arama ciktisi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\menu-urun-arama.txt","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\inceleme-ciktilari\menu-urun-arama.txt","kullanilmiyor","Inceleme veya arama ciktisi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\tum-js-inceleme.txt","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\inceleme-ciktilari\tum-js-inceleme.txt","kullanilmiyor","Inceleme veya arama ciktisi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\menu-products-formatli.json","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-veriler\menu-products-formatli.json","benzer-surum","Eski JSON/veri ciktisi; aktif kaynak JS katalog"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\menu-products.json","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-veriler\menu-products.json","benzer-surum","Eski JSON/veri ciktisi; aktif kaynak JS katalog"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\css\style3.css","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-css\style3.css","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\css\style4.css","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-css\style4.css","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\css\style5.css","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-css\style5.css","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\css\style6.css","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-css\style6.css","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script1.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-js\script1.js","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script10.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-js\script10.js","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script12.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-js\script12.js","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script13.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-js\script13.js","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script14.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-js\script14.js","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script15.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-js\script15.js","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script3.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-js\script3.js","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script5.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-js\script5.js","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script7.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-js\script7.js","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script8.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-js\script8.js","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\miya-inceleme\js\script9.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\kullanilmayan-js\script9.js","kullanilmiyor","index.html tarafindan cagrilmiyor"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\CUsersuzeyimiya-incelemejsscript1.j.txt","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\inceleme-ciktilari\script1-yol-bozuk-inceleme.txt","kullanilmiyor","Bozuk Windows yolu iceren inceleme ciktisi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\A7_0_ENTEGRASYON_PLANI.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\a7-0-entegrasyon-plani.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\GELISTIRICI_SECENEKLERI_PLANI.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\gelistirici-secenekleri-plani.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\MIYA_ANALIZ_RAPORU.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\miya-analiz-raporu.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\MIYA_TO_TAHMISCI_ENTEGRASYON_HARITASI.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\miya-to-tahmisci-entegrasyon-haritasi.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\RISK_ANALIZI.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\risk-analizi.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\SONRAKI_CODEX_PROMPTU.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\sonraki-codex-promptu.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\TAHMISCI_MEVCUT_DURUM_RAPORU.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\tahmisci-mevcut-durum-raporu.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\TEST_RAPORU_CART_SANDBOX_A6A.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\test-raporu-cart-sandbox-a6a.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\TEST_RAPORU_CONTEXT_STORE_A2_A4.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\test-raporu-context-store-a2-a4.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\TEST_RAPORU_DEBUG_MODEL_A6B.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\test-raporu-debug-model-a6b.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\TEST_RAPORU_DEVTOOLS_A1.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\test-raporu-devtools-a1.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\TEST_RAPORU_ENTEGRASYON_ONIZLEME_A5A.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\test-raporu-entegrasyon-onizleme-a5a.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\VOLTRAN_BIRLESIK_ONIZLEME_RAPORU.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\voltran-birlesik-onizleme-raporu.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\docs\YOL_HARITASI.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-raporlar\kaynak-docs\yol-haritasi.md","kullanilmiyor","Eski analiz/test raporlari"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\TAHMISCI_MENU.xlsx","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\birebir-kopyalar\tahmisci-menu-tahmisci.xlsx","birebir-kopya","SHA256 ayni: C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\excel\menu-source.xlsx"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\TAHMISCI_RECETE.xlsx","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\birebir-kopyalar\tahmisci-recete-tahmisci.xlsx","birebir-kopya","SHA256 ayni: C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\site\excel\recipe-source.xlsx"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\docs\35-recete-model-karsilastirma.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\docs\35-recete-model-karsilastirma.md","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\docs\36-voltran-recete-model-karari.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\docs\36-voltran-recete-model-karari.md","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\docs\37-asama-16-recete-adapter-plani.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\docs\37-asama-16-recete-adapter-plani.md","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\docs\38-hizlandirilmis-toplu-entegrasyon-plani.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\docs\38-hizlandirilmis-toplu-entegrasyon-plani.md","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\docs\product-excel-import-system.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\docs\product-excel-import-system.md","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\docs\revision-log.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\docs\revision-log.md","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\docs\system-map.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\docs\system-map.md","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\TAH\admin-ogretici-index.html","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\tah\admin-ogretici-index.html","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\TAH\DEPLOYMENT-GODADDY-NGINX.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\tah\deployment-godaddy-nginx.md","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\TAH\favicon.png","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\tah\favicon.png","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\TAH\favicon.svg","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\tah\favicon.svg","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\TAH\GUVENLIK-RAPORU.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\tah\guvenlik-raporu.md","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\TAH\index.html","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\tah\index.html","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\TAH\KLASOR-SEMASI.md","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\tah\klasor-semasi.md","eski-proje","Bagimsiz TAH kaynak projesi"
"C:\Users\uzeyi\OneDrive\Masaüstü\MİYA\TAHMİSÇİ\TAH\menu-context.js","C:\Users\uzeyi\OneDrive\Masaüstü\TAHMISCI_SISTEMI\BENZERLER_VE_ESKILER\eski-projeler\tahmisci-kaynak\tah\menu-context.js","eski-proje","Bagimsiz TAH kaynak projesi"
